Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 22:00 2019
time =                  750ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  9 
 
time =                  755ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 10 
 
time =                  760ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 10 
 
time =                  765ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 11 
 
time =                  770ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 11 
 
time =                  775ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 12 
 
time =                  780ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 12 
 
time =                  785ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 13 
 
time =                  790ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 13 
 
time =                  795ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 14 
 
time =                  800ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 14 
 
time =                  805ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  810ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  815ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  820ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  825ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  830ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  835ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  840ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  845ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  850ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  855ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  860ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  865ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  870ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  875ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  880ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  885ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  890ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  895ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  900ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  905ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  910ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  915ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  920ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  925ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  930ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  935ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  940ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  945ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  950ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  955ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  960ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  965ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  970ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  975ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  980ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  985ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  990ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                  995ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1000ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1005ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1010ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1015ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1020ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1025ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1030ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1035ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1040ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1045ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1050ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1055ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1060ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2= 15 
 
time =                 1065ns clk = 1 n_rst = 1 up_dwn = 0 count1=2 count2= 14 
 
time =                 1070ns clk = 0 n_rst = 1 up_dwn = 0 count1=2 count2= 14 
 
time =                 1075ns clk = 1 n_rst = 1 up_dwn = 0 count1=1 count2= 13 
 
time =                 1080ns clk = 0 n_rst = 1 up_dwn = 0 count1=1 count2= 13 
 
time =                 1085ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2= 12 
 
time =                 1090ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2= 12 
 
time =                 1095ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2= 11 
 
time =                 1100ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2= 11 
 
time =                 1105ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2= 10 
 
time =                 1110ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2= 10 
 
time =                 1115ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  9 
 
time =                 1120ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  9 
 
time =                 1125ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  8 
 
